3150	3301	0.175994
3207	3301	0.200401
3150	3207	0.267201
3207	7737	0.334001
3301	3638	0.334001
3150	3638	0.400802
3207	3638	0.400802
3301	7737	0.400802
3150	7737	0.467602
3301	3535	0.527983
3638	7737	0.534402
3150	3535	0.563182
3207	8851	0.668003
3301	3677	0.668003
3150	3677	0.734803
3207	3677	0.734803
3301	8851	0.734803
3150	8851	0.801603
3207	3535	0.801603
3301	8657	0.809574
3638	3677	0.868403
7737	8851	0.868403
3150	8657	0.915171
3535	3638	0.935204
3638	8851	0.935204
3677	7737	0.935204
3207	7688	0.990099
3301	7688	0.990099
3535	7737	1.002004
3301	3608	1.068804
3608	3638	1.068804
3150	7688	1.072607
3638	7688	1.072607
3150	3608	1.135605
3207	3608	1.135605
7688	8657	1.155116
3608	7737	1.202405
7688	7737	1.237624
3535	8657	1.267159
3535	3677	1.269205
3677	8851	1.269205
3207	8657	1.336005
3535	8851	1.336005
3608	3677	1.336005
3638	8657	1.469606
3677	7688	1.485149
