8453,13
8435,13
1253,13
2254,13
3364,13
3560,13
2769,13
7771,8
3770,8
8964,8
9786,8
8862,8
8698,8
8918,8
9809,8
2731,8
8945,8
8703,8
7714,8
2806,8
8614,8
9769,8
2827,8
9562,2
7402,2
7368,2
1580,2
7284,2
3896,2
8727,2
7179,2
8665,2
1176,2
3904,2
1501,2
964,2
7448,2
7108,2
7541,19
8744,19
886,19
2574,19
8428,19
9757,19
2539,19
3638,11
3207,11
3535,11
3301,11
8851,11
7688,11
8657,11
3677,11
7737,11
3150,11
9718,11
1479,17
2809,17
8868,17
3031,17
8360,17
8586,4
7244,4
7379,4
8251,4
7085,4
1987,4
8736,4
978,4
5821,4
3901,4
1323,15
1473,15
1481,15
9542,6
8294,6
1448,6
1685,6
1221,6
7887,6
5738,6
8766,9
2551,9
2033,9
8790,9
2601,9
2896,9
3909,9
7776,12
3466,12
7657,12
3840,12
7700,12
3732,12
1961,20
7421,20
5785,20
7019,20
2154,20
7757,20
7684,1
8895,1
3360,1
2305,1
3237,1
3511,1
2541,1
634,1
915,1
8781,1
1990,1
2560,1
5828,1
2676,1
8778,1
1748,1
3800,1
2837,1
6012,1
7223,1
7501,1
2175,1
890,1
3537,1
1117,1
3016,1
898,1
1595,1
5678,1
3655,1
1758,1
7619,1
3779,1
5958,1
1878,1
7077,1
7750,1
8688,1
1252,1
2610,1
3545,1
1520,1
7745,1
3664,1
7900,1
2739,1
2219,1
8695,1
8458,1
8296,1
959,1
1153,1
2121,1
1270,1
1305,1
2755,1
2875,1
3688,1
5900,1
1306,1
1712,1
3179,1
7537,1
979,1
3618,1
7158,1
8522,1
3232,1
2383,1
1690,1
1844,1
2534,1
2412,1
989,1
5690,10
7532,10
6004,10
5937,10
5588,10
1517,10
1307,10
1921,18
2772,18
2662,18
2859,18
8651,3
8672,3
2792,3
3482,3
2591,3
3516,3
3557,3
3533,3
936,3
8245,3
3574,3
2634,3
3403,3
2852,3
942,3
967,3
3789,3
8425,5
9731,5
7654,5
2000,5
8370,5
1404,5
3849,5
1721,5
2488,5
7536,5
867,5
2922,16
2908,16
933,16
7490,16
9580,16
8575,7
9760,7
3761,7
2793,7
7091,7
3221,7
2670,7
3006,7
1862,7
3622,7
2310,7
3498,7
8459,7
3874,7
3636,7
2945,7
2449,14
2555,14
